"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DDIQKVEZ","journalArticle","1977","Youssi, Abderrahim","Les parlers secrets au Maroc","La Linguistique","","","","","","1977","2018-04-15 16:02:33","2018-05-03 16:37:32","","135-143","","1","13","","","","","","","","","","","","","","","","","(biblid:youssi_1977_4084)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7XEEEUJ","journalArticle","2010","Youssef, Islam","Against Underlying Mid Vowels in Cairene Arabic","Zeitschrift für Arabische Linguistik","","0170026X","","http://www.jstor.org.uaccess.univie.ac.at/stable/10.13173/zeitarabling.52.0005","Mid vowels in Cairene Arabic (CA) are claimed to have historically developed from Classical Arabic (CLA) diphthongs through monophthongization. Despite the claims that this is a historical process which no longer applies and that long mid vowels are underlying in CA, the absence of short mid vowels in this dialect raises certain theoretical concerns. This paper examines the distribution of mid vowels and diphthongs in CA and provides evidence that all mid vowels are synchronically derived from underlying diphthongs. Diphthongs, however, surface in systematic environments: after the shortening of underlying long low vowels, across morpheme boundaries, when a geminate glide is involved, and in a few lexical exceptions &#x2013; contexts which resist phonological processes across languages. I argue that the appearance of CA long mid vowels is the result of total assimilation of two adjacent vocalic root nodes. As a consequence, CA and CLA surface forms can both be derived from diphthongal underlying representations with minimal constraint re-ranking.","2010","2018-04-15 16:02:33","2018-04-15 16:02:33","","5-38","","52","","","","","","","","","","","","","","","","","","(biblid:youssef_2010_2812)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QZMBS6G","bookSection","1995","Younes, Munther A.","On vowel shortening in Palestinian Arabic","Perspectives on Arabic Linguistics VII : Papers From the Seventh Annual Symposium on Arabic Linguistics","","","","","","1995","2018-04-15 16:02:33","2018-05-03 19:53:39","","157-171","","","","","","","Amsterdam Studies in the Theory and History of Linguistic Science","IV","","","John Benjamins Publishing Company","Amsterdam","","","","","","","","(biblid:younes_1995_0000)","","","","vt:phonology; reg:Israel [31.53, 34.83]; reg:Palestine [31.89, 35.25]; reg:Syro-Palestine [32.93, 36.53]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KW5J5DLM","journalArticle","2013","Younes, Igor; Herin, Bruno","Un parler bédouin du Liban Note sur le dialecte des ʿAtīǧ (Wādī Xālid)","Zeitschrift für Arabische Linguistik","","0170026X","","http://www.jstor.org.uaccess.univie.ac.at/stable/10.13173/zeitarabling.58.0032","","2013","2018-04-15 16:02:33","2018-04-15 16:02:33","","32-65","","58","","","","","","","","","","","","","","","","","","(biblid:younes_2013_2795)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMH9L663","journalArticle","1993","Yoshida, Shohei","Licensing of empty nuclei: the case of Palestinian vowel harmony","Linguistic Review","","01676318","","","","1993","2018-04-15 16:02:33","2018-04-15 16:02:33","","127-159","","ii","10","","","","","","","","","","","","","","","","","(biblid:yoshida_1993_0000)","","","","vt:phonology; reg:Israel [31.53, 34.83]; reg:Palestine [31.89, 35.25]; reg:Syro-Palestine [32.93, 36.53]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UX89FKXP","journalArticle","2000","Yoda, Sumikazu","The correlation between short vowel subsystem and long vowel system in the modern Maghribi dialects","JAMES: Annals of Japan Asociation for Middle East Studies","","","","","","2000","2018-04-15 16:02:33","2018-04-15 16:02:33","","91-125","","","15","","","","","","","","","","","","","","","","","(biblid:yoda_2000_0000)","","","","vt:phonology; reg:Maghreb []","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWT7RIEG","journalArticle","1982","Yassin, Mahmoud Aziz F.","Recurrent verbal formulas in Kuwait","Arabian Studies","","","","","","1982","2018-04-15 16:02:33","2018-04-15 16:02:33","","205-210","","","6","","","","","","","","","","","","","","","","","(biblid:yassin_1982_0000)","","","","vt:morphology; vt:syntax; reg:Arabian Peninsula [22.36, 46.81]; reg:Kuweit [29.25, 47.88]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWN2GACF","journalArticle","1985","Yasin, Mohammed Khalid el-","Basic word order in classical Arabic and Jordanian Arabic","Lingua: International Review of General Linguistics","","00243841","","","","1985","2018-04-15 16:02:33","2018-04-15 16:02:33","","107-122","","i-ii","65","","","","","","","","","","","","","","","","","(biblid:yasin_1985_0000)","","","","vt:linguistics/dialectology; vt:classical; reg:Syro-Palestine [32.93, 36.53]; reg:Jordan [31.26, 36.15]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BUJBNPK","journalArticle","2007","Woidich, Manfred","Everything you always wanted to know about 'āl, yi'ūl ""to say"" in Egyptian Arabic","","","","","","","2007","2018-04-15 16:02:33","2018-04-15 16:02:33","","675-700","","","","","","","","","","","","","","","","","","","","(biblid:woidich_2007_0001)","","","","reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS23CUY6","bookSection","2007","Woidich, Manfred; Hogendijk, Jan. P.; Vrolijk, Arnoud","'Āxir iṭṭibb innāṛ: Texte sur Volksmedizin aus ilBašandi in der Oase Dakhla","O ye Gentlemen: Arabic Studies on Science and Literary Culture. In Honour of Remke Kruk","","","","","","2007","2018-04-15 16:02:33","2018-09-25 15:42:55","","143-170","","","","","","","","","","","Brill","Leiden","","","","","","","","(biblid:woidich_2007_0000)","","","","reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan; geo:Dakhla [25.51, 29.16]; vt:manuscripts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKTLGTGY","bookSection","2005","Woidich, Manfred","Kindersprache in ilBašandi. Ein Text aus der Oase Dakhla","Alltagsleben und materielle Kultur in der arabischen Sprache und Literatur. Festschrift für Heinz Grotzfeld zum 70. Geburtstag","","","","","","2005","2018-04-15 16:02:33","2018-05-05 14:05:39","","411-431","","","","","","","","","","","Harrassowitz","Wiesbaden","","","","","","","","(biblid:woidich_2005_0000)","","","","reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan; geo:Dakhla [25.51, 29.16]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y2J4FWC9","journalArticle","1998","Woidich, Manfred","Aus den Erinnerungen eines Hundertjährigen. Ein Text im Dialekt von Balāṭ in Ost-Dakhla / Ägypten","Estudios de Dialectología Norteafricana y Andalusí","","","","","","1998","2018-04-15 16:02:33","2018-04-15 16:02:33","","7-33","","","3","","","","","","","","","","","","","","","","","(biblid:woidich_1998_0000)","","","","reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan; geo:Balat [25.55, 29.26]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8DTFDV8","journalArticle","1997","Woidich, Manfred","Negation in the Egyptian Arabic dialect of the Dakhla-Oasis: a case of rule morphologization","Mediterranean Language Review","","07247567","","","","1997","2018-04-15 16:02:33","2018-04-15 16:02:33","","13-28","","1995-97","9","","","","","","","","","","","","","","","","","(biblid:woidich_1997_0001)","","","","reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan; geo:Dakhla [25.51, 29.16]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJGD7TJT","journalArticle","1993","Woidich, Manfred","Die Dialekte der ägyptischen Oasen: westliches oder östliches Arabisch?","Zeitschrift für Arabische Linguistik","","0170026X","","http://www.jstor.org/stable/43513467","","1993","2018-04-15 16:02:33","2018-04-15 16:02:33","","340-359","","25","","","","","","","","","","","","","","","","","","(biblid:woidich_1993_0000)","","","","vt:linguistics/dialectology; reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFN6FFE4","journalArticle","1991","Woidich, Manfred","Die Formtypen des Zustandssatzes im Kairenischen","Zeitschrift für Arabische Linguistik","","0170026X","","http://www.jstor.org/stable/43615776","","1991","2018-04-15 16:02:33","2018-04-23 19:24:03","","66-98","","","23","","","","","","","","","","","","","","","","","(biblid:woidich_1991_2874)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4H6F8AW4","journalArticle","1989","Woidich, Manfred","Illi ""dass"". illi ""weil"" und zayy illi ""als ob"": zur Reinterpretation von Relativsatzgefügen im Kairenischen","Mediterranean Language Review","","07247567","","","","1989","2018-04-15 16:02:33","2018-04-15 16:02:33","","109-128","","","4-5","","","","","","","","","","","","","","","","","(biblid:woidich_1989_0000)","","","","vt:syntax; reg:Egypt [27.39, 30.26]; geo:Cairo [30.04, 31.23]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZR6HIC63","journalArticle","1980","Woidich, Manfred","Zum Dialekt von il-ʿAwāmṛa in der östlichen Šarqiyya (Ägypten). II. Texte und Glossar","Zeitschrift für Arabische Linguistik","","0170026X","","http://www.jstor.org/stable/43530349","","1980","2018-04-15 16:02:33","2018-05-05 14:10:51","","31-60","","4","","","","","","","","","","","","","","","","","","(biblid:woidich_1980_2892)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43DJ8FLM","bookSection","1980","Woidich, Manfred","Illi als Konjunktion im Kairenischen","Studien aus Arabistik und Semitistik. Anton Spitaler zum siebzigsten Geburtstag von seinen Schülern überreicht","","","","","","1980","2018-04-15 16:02:33","2018-05-05 14:12:39","","224-238","","","","","","","","","","","Harrassowitz","Wiesbaden","","","","","","","","(biblid:woidich_1980_0001)","","","","vt:morphology; vt:syntax; vt:transcribed texts; reg:Egypt [27.39, 30.26]; geo:Cairo [30.04, 31.23]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTI6A9GV","journalArticle","1979","Woidich, Manfred","Zum Dialekt von il-‘Awāmṛa in der östlichen Šarqiyya (Ägypten)","Zeitschrift für Arabische Linguistik","","","","http://www.jstor.org.uaccess.univie.ac.at/stable/43530335","","1979","2018-04-15 16:02:33","2018-05-07 15:44:20","","76-99","","","2","","","","","","","","","","","","","","","","","(biblid:woidich_1979_0000)","","","","vt:description of dialect; reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8IKUPPC","journalArticle","1974","Woidich, Manfred","Ein arabischer Bauerndialekt aus dem südlichen Oberägypten","Zeitschrift der Deutschen Morgenländischen Gesellschaft","","","","","","1974","2018-04-15 16:02:33","2018-05-05 14:13:49","","42-58","","","124","","","","","","","","","","","","","","","","","(biblid:woidich_1974_0000)","","","","vt:description of dialect; vt:sociolinguistics; vt:transcribed texts; reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFNM2PLG","bookSection","1997","Woidich, M.","Egyptian Arabic and dialect contact in historical perspective","Humanism, Culture, and Language in the Near East : Studies in Honor of Georg Krotkoff","","","","","","1997","2018-04-15 16:02:33","2018-05-05 14:17:02","","185-197","","","","","","","","","","","Eisenbrauns","Winona Lake, Indiana","","","","","","","","(biblid:woidich_1997_0000)","","","","vt:general/comparative study; vt:transcribed texts; reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan; vt:contact linguistics; vt:diachronic perspective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LI3UTX8","journalArticle","1996","Woidich, Manfred","Some cases of grammaticalization in Egyptian Arabic","","","","","","","1996","2018-04-15 16:02:33","2018-05-05 14:17:30","","259-268","","","Cambridge: Middle East Centre, Faculty of Oriental Studies, [1996?]","","","","","","","","","","","","","","","","","(biblid:woidich_1996_0001)","","","","vt:linguistics/dialectology; reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PBX2SQW","journalArticle","1996","Woidich, M.","Rural dialect of Egyptian Arabic: an overview","Egypte / Monde Arabe","","","","","","1996","2018-04-15 16:02:33","2018-04-15 16:02:33","","325-354","","","27-28","","","","","","","","","","","","","","","","","(biblid:woidich_1996_0000)","","","","reg:Egypt [27.39, 30.26]; reg:Egypt-Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
